y_section,chord,twist_deg,le_x,le_z,te_mid_x,te_mid_z,te_thickness,fit_xmin,fit_xmax,rmse_upper,rmse_lower,max_abs_error,upper_cst_0,upper_cst_1,upper_cst_2,upper_cst_3,upper_cst_4,upper_cst_5,lower_cst_0,lower_cst_1,lower_cst_2,lower_cst_3,lower_cst_4,lower_cst_5
0.0,41.106046753861236,0.7777170977372176,3.59036,0.25865,44.692620000000005,0.816595,0.0017858758327404453,0.0,0.99,0.0010628265773988666,0.0030001749596681574,0.007954144420424587,0.18181997367146724,0.1709935828122251,0.1455488788794331,0.14465565111615697,0.1858364950933948,0.24688319276374468,-0.09022353282726805,-0.12382620498018837,-0.15591644781925368,-0.21753638510529727,-0.26350547424055293,-0.2664047176730415
1.9,39.17156228980215,-0.34186881361179694,5.49358,1.03474,44.664445,0.801015,0.0018239263113698934,0.0,0.99,0.00293797852393201,0.002235715684950881,0.011333537144450711,0.12619522422663712,0.14952468554576231,0.12503039626141826,0.12044132971230177,0.16316655264586524,0.22636699854257636,-0.17182923149026957,-0.16206498688017337,-0.18400445979451005,-0.24107952529396867,-0.28467752187549944,-0.29608094417761976
5.694,30.081172111334023,0.3714392572622104,14.35857,0.48145,44.43911,0.67646,0.001852260963915209,0.0,0.99,0.001005328176756031,0.0022855021549887593,0.008117367534012546,0.15795919592198882,0.15752991305443062,0.1506503258785301,0.16456395387130923,0.2063132138743836,0.25767258008187743,-0.08949801532922344,-0.1137299329230406,-0.11088516476391751,-0.1405147717842674,-0.22013376005912008,-0.3167968311480819
8.042,13.920426362459233,-0.2489128619417472,19.30808,0.67693,33.228375,0.616455,0.0030467512248412917,0.0,0.99,0.001557054710187987,0.002331147584038973,0.00895728581354706,0.15253546316853694,0.2387366087679237,0.24824699180387344,0.20673681995442905,0.16032373313699053,0.1184220073950578,-0.1114625681666329,-0.14152962008931408,-0.16230417597184305,-0.18010566020175103,-0.17187638770567706,-0.14132985823466146
12.509,7.733590311378669,0.4834598561632531,25.49934,0.72992,33.232655,0.795175,0.002362304664394475,0.0,0.99,0.0014800716706493793,0.0012339050938510359,0.008241354583746533,0.0919011193097254,0.11833457813052178,0.156522349087152,0.17526797173908723,0.1566348341118798,0.11600648886691159,-0.05054878264316995,-0.07848032323305172,-0.10838842759698347,-0.12912560835240508,-0.12119807395342273,-0.09136101004815043
22.5,5.164153641132783,0.6705357196689152,30.73689,1.18797,35.90069,1.248405,0.0023526414723535026,0.0,0.99,0.001681068242006862,0.001213642304992399,0.00915893663730759,0.09127217913484763,0.11008515485990247,0.1472333781121636,0.1686626108358708,0.15164877906149743,0.11112762562443108,-0.04796820001736928,-0.0813141575702219,-0.11073441127313624,-0.12786590298872935,-0.11699905463852629,-0.08500553547136752
32.5,2.5943475021766025,0.36451293410749486,35.97683,1.68554,38.571124999999995,1.702045,0.002324408468318219,0.0,0.99,0.0010137961678569085,0.0018210354766820848,0.01065316255126273,0.03812219912816849,0.08342253383851292,0.1210071089423278,0.13892648551746906,0.12417036837244261,0.08782206480278364,-0.09754073451414964,-0.10278252069108743,-0.13008859274669068,-0.14962063277244372,-0.1351920898194304,-0.0970699140293655
39.5,0.7977010403183649,3.17706110301599,39.64394,1.97538,40.440415,2.01959,0.0021855582271015795,0.0,0.99,0.0010052713116231672,0.0015647362348619493,0.008585608093007971,0.03809915885565254,0.07781941135724325,0.11470121442301358,0.13458479644589671,0.12097836576404221,0.08467966039753574,-0.0951757301928891,-0.10425200975148341,-0.13154370560478132,-0.1486002491125193,-0.1319899544654278,-0.0922348554266702
