VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=3078
DATAPACKING=POINT
13.870279 4.812084 1.191071 
14.587563 4.729556 1.191071 
15.314105 4.630026 1.191071 
16.048784 4.514504 1.191071 
16.790463 4.384173 1.191071 
17.537995 4.240369 1.191071 
18.290224 4.084568 1.191071 
19.045986 3.918360 1.191071 
19.804112 3.743424 1.191071 
20.563429 3.561502 1.191071 
21.322760 3.374370 1.191071 
22.080932 3.183809 1.191071 
22.836770 2.991573 1.191071 
23.589106 2.799362 1.191071 
24.336775 2.608797 1.191071 
25.078620 2.421392 1.191071 
25.813496 2.238534 1.191071 
26.540265 2.061466 1.191071 
27.257805 1.891271 1.191071 
27.965007 1.728860 1.191071 
28.660781 1.574973 1.191071 
29.344051 1.430171 1.191071 
30.013764 1.294840 1.191071 
30.668887 1.169200 1.191071 
31.308410 1.053314 1.191071 
31.931349 0.947098 1.191071 
32.536743 0.850343 1.191071 
33.123660 0.762726 1.191071 
33.691198 0.683831 1.191071 
34.238483 0.613172 1.191071 
34.764672 0.550205 1.191071 
35.268957 0.494354 1.191071 
35.750562 0.445024 1.191071 
36.208746 0.401619 1.191071 
36.642805 0.363556 1.191071 
37.052071 0.330276 1.191071 
37.435914 0.301255 1.191071 
37.793746 0.276013 1.191071 
38.125014 0.254115 1.191071 
38.429210 0.235176 1.191071 
38.705866 0.218862 1.191071 
38.954555 0.204890 1.191071 
39.174896 0.193021 1.191071 
39.366549 0.183063 1.191071 
39.529218 0.174859 1.191071 
39.662655 0.168291 1.191071 
39.766652 0.163266 1.191071 
39.841051 0.159721 1.191071 
39.885736 0.157610 1.191071 
39.900639 0.156909 1.191071 
4.258705 0.015870 2.645998 
4.271260 0.257331 2.645998 
4.311192 0.498439 2.645998 
4.378440 0.738674 2.645998 
4.472900 0.977510 2.645998 
4.594428 1.214403 2.645998 
4.742837 1.448793 2.645998 
4.917900 1.680097 2.645998 
5.119347 1.907704 2.645998 
5.346870 2.130976 2.645998 
5.600120 2.349239 2.645998 
5.878707 2.561788 2.645998 
6.182203 2.767881 2.645998 
6.510144 2.966743 2.645998 
6.862026 3.157568 2.645998 
7.237308 3.339520 2.645998 
7.635416 3.511740 2.645998 
8.055737 3.673358 2.645998 
8.497627 3.823493 2.645998 
8.960407 3.961273 2.645998 
9.443368 4.085845 2.645998 
9.945766 4.196388 2.645998 
10.466831 4.292130 2.645998 
11.005762 4.372368 2.645998 
11.561729 4.436481 2.645998 
12.133878 4.483947 2.645998 
12.721328 4.514366 2.645998 
13.323174 4.527467 2.645998 
13.938489 4.523129 2.645998 
14.566324 4.501389 2.645998 
15.205709 4.462452 2.645998 
15.855658 4.406695 2.645998 
16.515167 4.334672 2.645998 
17.183214 4.247112 2.645998 
17.858768 4.144908 2.645998 
18.540780 4.029116 2.645998 
19.228197 3.900936 2.645998 
19.919951 3.761696 2.645998 
20.614971 3.612831 2.645998 
21.312178 3.455863 2.645998 
22.010492 3.292375 2.645998 
22.708829 3.123983 2.645998 
23.406106 2.952309 2.645998 
24.101242 2.778957 2.645998 
24.793158 2.605483 2.645998 
25.480782 2.433372 2.645998 
26.163049 2.264013 2.645998 
26.838901 2.098683 2.645998 
27.507292 1.938526 2.645998 
28.167188 1.784541 2.645998 
28.817568 1.637573 2.645998 
29.457429 1.498306 2.645998 
30.085780 1.367264 2.645998 
30.701654 1.244809 2.645998 
31.304100 1.131151 2.645998 
31.892190 1.026354 2.645998 
32.465018 0.930351 2.645998 
33.021702 0.842952 2.645998 
33.561386 0.763869 2.645998 
34.083240 0.692726 2.645998 
34.586463 0.629078 2.645998 
35.070281 0.572431 2.645998 
35.533950 0.522257 2.645998 
35.976760 0.478014 2.645998 
36.398030 0.439153 2.645998 
36.797113 0.405141 2.645998 
37.173396 0.375466 2.645998 
37.526303 0.349645 2.645998 
37.855291 0.327238 2.645998 
38.159854 0.307843 2.645998 
38.439526 0.291108 2.645998 
38.693876 0.276725 2.645998 
38.922514 0.264431 2.645998 
39.125087 0.254009 2.645998 
39.301286 0.245278 2.645998 
39.450838 0.238098 2.645998 
39.573514 0.232355 2.645998 
39.669124 0.227966 2.645998 
39.737523 0.224872 2.645998 
39.778605 0.223031 2.645998 
39.792305 0.222419 2.645998 
7.456665 0.040702 4.620622 
7.468187 0.243853 4.620622 
7.504518 0.446711 4.620622 
7.565602 0.648843 4.620622 
7.651346 0.849809 4.620622 
7.761617 1.049158 4.620622 
7.896246 1.246424 4.620622 
8.055028 1.441123 4.620622 
8.237717 1.632750 4.620622 
8.444033 1.820778 4.620622 
8.673660 2.004649 4.620622 
8.926244 2.183783 4.620622 
9.201397 2.357565 4.620622 
9.498697 2.525356 4.620622 
9.817687 2.686488 4.620622 
10.157878 2.840266 4.620622 
10.518746 2.985976 4.620622 
10.899738 3.122890 4.620622 
11.300268 3.250271 4.620622 
11.719721 3.367384 4.620622 
12.157453 3.473506 4.620622 
12.612792 3.567940 4.620622 
13.085037 3.650026 4.620622 
13.573462 3.719155 4.620622 
14.077316 3.774786 4.620622 
14.595824 3.816461 4.620622 
15.128187 3.843815 4.620622 
15.673586 3.856596 4.620622 
16.231181 3.854674 4.620622 
16.800110 3.838052 4.620622 
17.379498 3.806872 4.620622 
17.968449 3.761425 4.620622 
18.566053 3.702151 4.620622 
19.171387 3.629639 4.620622 
19.783515 3.544621 4.620622 
20.401489 3.447967 4.620622 
21.024353 3.340675 4.620622 
21.651143 3.223853 4.620622 
22.280888 3.098706 4.620622 
22.912611 2.966514 4.620622 
23.545334 2.828614 4.620622 
24.178076 2.686375 4.620622 
24.809856 2.541177 4.620622 
25.439696 2.394386 4.620622 
26.066618 2.247330 4.620622 
26.689653 2.101282 4.620622 
27.307834 1.957435 4.620622 
27.920205 1.816889 4.620622 
28.525819 1.680630 4.620622 
29.123738 1.549526 4.620622 
29.713039 1.424310 4.620622 
30.292810 1.305583 4.620622 
30.862157 1.193804 4.620622 
31.420202 1.089297 4.620622 
31.966082 0.992255 4.620622 
32.498958 0.902746 4.620622 
33.018009 0.820721 4.620622 
33.522434 0.746030 4.620622 
34.011459 0.678435 4.620622 
34.484331 0.617621 4.620622 
34.940322 0.563215 4.620622 
35.378732 0.514797 4.620622 
35.798887 0.471922 4.620622 
36.200141 0.434125 4.620622 
36.581879 0.400940 4.620622 
36.943514 0.371910 4.620622 
37.284489 0.346597 4.620622 
37.604283 0.324588 4.620622 
37.902402 0.305504 4.620622 
38.178390 0.289000 4.620622 
38.431822 0.274771 4.620622 
38.662308 0.262554 4.620622 
38.869495 0.252121 4.620622 
39.053064 0.243284 4.620622 
39.212731 0.235888 4.620622 
39.348253 0.229809 4.620622 
39.459420 0.224951 4.620622 
39.546060 0.221240 4.620622 
39.608042 0.218624 4.620622 
39.645270 0.217068 4.620622 
39.657685 0.216552 4.620622 
11.378432 0.074823 7.054945 
11.389250 0.226944 7.054945 
11.421730 0.378757 7.054945 
11.475822 0.529926 7.054945 
11.551443 0.680110 7.054945 
11.648476 0.828965 7.054945 
11.766771 0.976137 7.054945 
11.906146 1.121261 7.054945 
12.066387 1.263962 7.054945 
12.247245 1.403848 7.054945 
12.448443 1.540512 7.054945 
12.669669 1.673530 7.054945 
12.910584 1.802459 7.054945 
13.170815 1.926836 7.054945 
13.449961 2.046179 7.054945 
13.747592 2.159991 7.054945 
14.063249 2.267756 7.054945 
14.396446 2.368951 7.054945 
14.746668 2.463041 7.054945 
15.113376 2.549494 7.054945 
15.496004 2.627784 7.054945 
15.893963 2.697400 7.054945 
16.306638 2.757853 7.054945 
16.733394 2.808693 7.054945 
17.173572 2.849514 7.054945 
17.626494 2.879966 7.054945 
18.091462 2.899768 7.054945 
18.567759 2.908719 7.054945 
19.054649 2.906705 7.054945 
19.551383 2.893707 7.054945 
20.057195 2.869814 7.054945 
20.571304 2.835219 7.054945 
21.092918 2.790229 7.054945 
21.621232 2.735261 7.054945 
22.155432 2.670844 7.054945 
22.694694 2.597607 7.054945 
23.238187 2.516279 7.054945 
23.785072 2.427677 7.054945 
24.334506 2.332689 7.054945 
24.885641 2.232269 7.054945 
25.437629 2.127412 7.054945 
25.989616 2.019144 7.054945 
26.540753 1.908501 7.054945 
27.090189 1.796516 7.054945 
27.637078 1.684193 7.054945 
28.180574 1.572500 7.054945 
28.719842 1.462348 7.054945 
29.254048 1.354577 7.054945 
29.782369 1.249948 7.054945 
30.303991 1.149131 7.054945 
30.818108 1.052698 7.054945 
31.323929 0.961117 7.054945 
31.820674 0.874755 7.054945 
32.307575 0.793874 7.054945 
32.783883 0.718636 7.054945 
33.248863 0.649106 7.054945 
33.701799 0.585265 7.054945 
34.141991 0.527010 7.054945 
34.568761 0.474173 7.054945 
34.981451 0.426525 7.054945 
35.379426 0.383792 7.054945 
35.762070 0.345665 7.054945 
36.128794 0.311809 7.054945 
36.479034 0.281879 7.054945 
36.812248 0.255522 7.054945 
37.127924 0.232396 7.054945 
37.425573 0.212168 7.054945 
37.704739 0.194525 7.054945 
37.964989 0.179179 7.054945 
38.205923 0.165869 7.054945 
38.427170 0.154361 7.054945 
38.628388 0.144454 7.054945 
38.809267 0.135973 7.054945 
38.969528 0.128774 7.054945 
39.108924 0.122738 7.054945 
39.227240 0.117770 7.054945 
39.324294 0.113794 7.054945 
39.399936 0.110754 7.054945 
39.447432 0.108461 7.044642 
39.470513 0.106973 7.030093 
39.478189 0.106479 7.025238 
14.852403 0.117162 9.875000 
14.859620 0.189363 9.875000 
14.879957 0.261284 9.875000 
14.913382 0.332752 9.875000 
14.959843 0.403594 9.875000 
15.019268 0.473635 9.875000 
15.091564 0.542699 9.875000 
15.176619 0.610608 9.875000 
15.274302 0.677182 9.875000 
15.384461 0.742236 9.875000 
15.506926 0.805582 9.875000 
15.641506 0.867025 9.875000 
15.787994 0.926367 9.875000 
15.946162 0.983400 9.875000 
16.115766 1.037914 9.875000 
16.296542 1.089688 9.875000 
16.488211 1.138498 9.875000 
16.690476 1.184114 9.875000 
16.903023 1.226303 9.875000 
17.125523 1.264832 9.875000 
17.357632 1.299468 9.875000 
17.598990 1.329986 9.875000 
17.849223 1.356170 9.875000 
18.107944 1.377816 9.875000 
18.374753 1.394741 9.875000 
18.649238 1.406786 9.875000 
18.930973 1.413822 9.875000 
19.219524 1.415753 9.875000 
19.514445 1.412521 9.875000 
19.815282 1.404115 9.875000 
20.121571 1.390568 9.875000 
20.432839 1.371964 9.875000 
20.748609 1.348438 9.875000 
21.068394 1.320176 9.875000 
21.391704 1.287417 9.875000 
21.718041 1.250450 9.875000 
22.046905 1.209607 9.875000 
22.377793 1.165268 9.875000 
22.710196 1.117844 9.875000 
23.043605 1.067782 9.875000 
23.377511 1.015548 9.875000 
23.711401 0.961627 9.875000 
24.044765 0.906509 9.875000 
24.377093 0.850686 9.875000 
24.707875 0.794638 9.875000 
25.036604 0.738830 9.875000 
25.362778 0.683702 9.875000 
25.685895 0.629662 9.875000 
26.005462 0.577082 9.875000 
26.320986 0.526290 9.875000 
26.631983 0.477572 9.875000 
26.937975 0.431163 9.875000 
27.238492 0.387248 9.875000 
27.533071 0.345966 9.875000 
27.821257 0.307406 9.875000 
28.102606 0.271611 9.875000 
28.376684 0.238582 9.875000 
28.643068 0.208281 9.875000 
28.901345 0.180637 9.875000 
29.151116 0.155550 9.875000 
29.391995 0.132896 9.875000 
29.623608 0.112534 9.875000 
29.845597 0.094310 9.875000 
30.057618 0.078062 9.875000 
30.259341 0.063628 9.875000 
30.450455 0.050845 9.875000 
30.630663 0.039558 9.875000 
30.799686 0.029618 9.875000 
30.957262 0.020888 9.875000 
31.103146 0.013243 9.875000 
31.237113 0.006574 9.875000 
31.358954 0.000783 9.875000 
31.468482 -0.004213 9.875000 
31.565527 -0.008485 9.875000 
31.649938 -0.012088 9.875000 
31.721585 -0.015070 9.875000 
31.780357 -0.017466 9.875000 
31.826163 -0.019304 9.875000 
31.858932 -0.020604 9.875000 
31.878614 -0.021378 9.875000 
31.885178 -0.021636 9.875000 
17.996958 0.166498 12.995102 
18.001038 0.193947 12.995102 
18.012011 0.221168 12.995102 
18.029859 0.248089 12.995102 
18.054554 0.274634 12.995102 
18.086056 0.300732 12.995102 
18.124318 0.326311 12.995102 
18.169278 0.351300 12.995102 
18.220866 0.375629 12.995102 
18.279004 0.399228 12.995102 
18.343599 0.422028 12.995102 
18.414552 0.443958 12.995102 
18.491753 0.464949 12.995102 
18.575081 0.484930 12.995102 
18.664407 0.503829 12.995102 
18.759593 0.521572 12.995102 
18.860490 0.538086 12.995102 
18.966942 0.553294 12.995102 
19.078784 0.567120 12.995102 
19.195841 0.579488 12.995102 
19.317932 0.590321 12.995102 
19.444867 0.599544 12.995102 
19.576450 0.607086 12.995102 
19.712476 0.612878 12.995102 
19.852734 0.616861 12.995102 
19.997007 0.618980 12.995102 
20.145072 0.619191 12.995102 
20.296699 0.617462 12.995102 
20.451654 0.613775 12.995102 
20.609698 0.608125 12.995102 
20.770587 0.600526 12.995102 
20.934074 0.591009 12.995102 
21.099908 0.579623 12.995102 
21.267833 0.566435 12.995102 
21.437593 0.551535 12.995102 
21.608928 0.535028 12.995102 
21.781575 0.517038 12.995102 
21.955272 0.497705 12.995102 
22.129753 0.477184 12.995102 
22.304752 0.455640 12.995102 
22.480002 0.433251 12.995102 
22.655237 0.410200 12.995102 
22.830191 0.386674 12.995102 
23.004596 0.362859 12.995102 
23.178188 0.338943 12.995102 
23.350701 0.315103 12.995102 
23.521873 0.291512 12.995102 
23.691444 0.268329 12.995102 
23.859153 0.245701 12.995102 
24.024745 0.223760 12.995102 
24.187965 0.202619 12.995102 
24.348565 0.182377 12.995102 
24.506297 0.163110 12.995102 
24.660919 0.144879 12.995102 
24.812192 0.127724 12.995102 
24.959884 0.111669 12.995102 
25.103766 0.096722 12.995102 
25.243616 0.082875 12.995102 
25.379216 0.070106 12.995102 
25.510358 0.058383 12.995102 
25.636836 0.047665 12.995102 
25.758456 0.037902 12.995102 
25.875026 0.029040 12.995102 
25.986367 0.021021 12.995102 
26.092305 0.013787 12.995102 
26.192675 0.007278 12.995102 
26.287320 0.001437 12.995102 
26.376094 -0.003790 12.995102 
26.458857 -0.008453 12.995102 
26.535482 -0.012600 12.995102 
26.605848 -0.016269 12.995102 
26.669847 -0.019499 12.995102 
26.727379 -0.022320 12.995102 
26.778355 -0.024757 12.995102 
26.822694 -0.026833 12.995102 
26.860330 -0.028564 12.995102 
26.891202 -0.029964 12.995102 
26.915264 -0.031043 12.995102 
26.932477 -0.031809 12.995102 
26.942816 -0.032267 12.995102 
26.946264 -0.032419 12.995102 
20.158497 0.221291 16.320448 
20.162372 0.238705 16.320448 
20.172580 0.255813 16.320448 
20.189103 0.272564 16.320448 
20.211916 0.288903 16.320448 
20.240983 0.304783 16.320448 
20.276257 0.320152 16.320448 
20.317684 0.334964 16.320448 
20.365198 0.349174 16.320448 
20.418725 0.362738 16.320448 
20.478182 0.375614 16.320448 
20.543477 0.387761 16.320448 
20.614508 0.399140 16.320448 
20.691164 0.409712 16.320448 
20.773327 0.419439 16.320448 
20.860868 0.428283 16.320448 
20.953653 0.436206 16.320448 
21.051536 0.443171 16.320448 
21.154366 0.449140 16.320448 
21.261983 0.454075 16.320448 
21.374220 0.457938 16.320448 
21.490903 0.460693 16.320448 
21.611850 0.462304 16.320448 
21.736875 0.462738 16.320448 
21.865782 0.461965 16.320448 
21.998371 0.459959 16.320448 
22.134439 0.456700 16.320448 
22.273773 0.452173 16.320448 
22.416159 0.446371 16.320448 
22.561377 0.439298 16.320448 
22.709203 0.430964 16.320448 
22.859409 0.421391 16.320448 
23.011764 0.410613 16.320448 
23.166035 0.398675 16.320448 
23.321986 0.385632 16.320448 
23.479377 0.371555 16.320448 
23.637969 0.356520 16.320448 
23.797519 0.340618 16.320448 
23.957784 0.323948 16.320448 
24.118522 0.306616 16.320448 
24.279486 0.288736 16.320448 
24.440434 0.270427 16.320448 
24.601119 0.251809 16.320448 
24.761299 0.233004 16.320448 
24.920730 0.214134 16.320448 
25.079170 0.195318 16.320448 
25.236378 0.176668 16.320448 
25.392114 0.158293 16.320448 
25.546141 0.140291 16.320448 
25.698225 0.122752 16.320448 
25.848133 0.105757 16.320448 
25.995635 0.089373 16.320448 
26.140506 0.073658 16.320448 
26.282522 0.058656 16.320448 
26.421466 0.044402 16.320448 
26.557123 0.030917 16.320448 
26.689283 0.018214 16.320448 
26.817742 0.006294 16.320448 
26.942301 -0.004849 16.320448 
27.062766 -0.015229 16.320448 
27.178951 -0.024868 16.320448 
27.290675 -0.033791 16.320448 
27.397763 -0.042026 16.320448 
27.500049 -0.049608 16.320448 
27.597373 -0.056567 16.320448 
27.689583 -0.062938 16.320448 
27.776536 -0.068754 16.320448 
27.858095 -0.074047 16.320448 
27.934134 -0.078845 16.320448 
28.004533 -0.083175 16.320448 
28.069184 -0.087061 16.320448 
28.127985 -0.090525 16.320448 
28.180844 -0.093584 16.320448 
28.227680 -0.096254 16.320448 
28.268419 -0.098547 16.320448 
28.302999 -0.100472 16.320448 
28.331365 -0.102038 16.320448 
28.353473 -0.103251 16.320448 
28.369289 -0.104115 16.320448 
28.378788 -0.104632 16.320448 
28.381956 -0.104804 16.320448 
