VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="FFD_vol0" I=10 J=2 K=17
DATAPACKING=POINT
-1.220000 -1.040059 -0.240000 
-1.050183 -1.410748 -0.240000 
0.440070 -2.356249 -0.240000 
5.242945 -3.220879 -0.240000 
14.345816 -3.181957 -0.240000 
25.613299 -2.200574 -0.240000 
34.707376 -1.363636 -0.240000 
39.496778 -1.120020 -0.240000 
40.975183 -1.089543 -0.240000 
41.140321 -1.088059 -0.240000 
-1.220000 1.040059 -0.240000 
-1.050183 1.822999 -0.240000 
0.440070 3.913678 -0.240000 
5.242945 6.223499 -0.240000 
14.345816 6.319032 -0.240000 
25.613299 3.535834 -0.240000 
34.707376 1.636025 -0.240000 
39.496778 1.172601 -0.240000 
40.975183 1.093375 -0.240000 
41.140321 1.088059 -0.240000 
-1.150038 -1.026703 0.379491 
-0.980793 -1.399597 0.379491 
0.505297 -2.350027 0.379491 
5.295583 -3.217773 0.379491 
14.375767 -3.172264 0.379491 
25.616156 -2.170867 0.379491 
34.688198 -1.316570 0.379491 
39.465914 -1.066038 0.379491 
40.940802 -1.033972 0.379491 
41.105592 -1.032376 0.379491 
-1.150038 1.026703 0.379491 
-0.980793 1.811787 0.379491 
0.505297 3.910539 0.379491 
5.295583 6.238977 0.379491 
14.375767 6.353560 0.379491 
25.616156 3.567835 0.379491 
34.688198 1.663943 0.379491 
39.465914 1.202117 0.379491 
40.940802 1.123765 0.379491 
41.105592 1.118520 0.379491 
0.804616 -0.843432 1.503379 
0.966400 -1.201471 1.503379 
2.380719 -2.112565 1.503379 
6.934684 -2.941522 1.503379 
15.565291 -2.884993 1.503379 
26.249849 -1.893888 1.503379 
34.873702 -1.047492 1.503379 
39.416964 -0.795560 1.503379 
40.821394 -0.761861 1.503379 
40.979179 -0.760116 1.503379 
0.804616 0.848551 1.503379 
0.966400 1.595426 1.503379 
2.380719 3.597135 1.503379 
6.934684 5.839944 1.503379 
15.565291 5.992874 1.503379 
26.249849 3.352167 1.503379 
34.873702 1.539554 1.503379 
39.416964 1.105336 1.503379 
40.821394 1.033011 1.503379 
40.979179 1.028196 1.503379 
4.254540 -0.475807 3.328475 
4.408500 -0.793126 3.328475 
5.712415 -1.599551 3.328475 
9.876131 -2.331138 3.328475 
17.746682 -2.274196 3.328475 
27.484265 -1.378884 3.328475 
35.348652 -0.613031 3.328475 
39.502363 -0.383282 3.328475 
40.796852 -0.351811 3.328475 
40.946970 -0.350146 3.328475 
4.254540 0.522369 3.328475 
4.408500 1.174987 3.328475 
