CST_STATION_036
1.0000000000 0.0007147913
0.9999571638 0.0007157646
0.9998286625 0.0007186928
0.9996145181 0.0007236013
0.9993147674 0.0007305319
0.9989294616 0.0007395435
0.9984586669 0.0007507116
0.9979024638 0.0007641286
0.9972609477 0.0007799038
0.9965342285 0.0007981630
0.9957224307 0.0008190490
0.9948256934 0.0008427215
0.9938441703 0.0008693566
0.9927780295 0.0008991475
0.9916274538 0.0009323039
0.9903926402 0.0009690521
0.9890738004 0.0010096351
0.9876711603 0.0010543125
0.9861849602 0.0011033602
0.9846154549 0.0011570704
0.9829629131 0.0012157515
0.9812276182 0.0012797280
0.9794098674 0.0013493403
0.9775099722 0.0014249442
0.9755282581 0.0015069112
0.9734650647 0.0015956276
0.9713207455 0.0016914947
0.9690956680 0.0017949283
0.9667902132 0.0019063582
0.9644047764 0.0020262279
0.9619397663 0.0021549941
0.9593956051 0.0022931261
0.9567727288 0.0024411054
0.9540715869 0.0025994249
0.9512926422 0.0027685886
0.9484363708 0.0029491103
0.9455032621 0.0031415135
0.9424938187 0.0033463301
0.9394085563 0.0035640996
0.9362480035 0.0037953687
0.9330127019 0.0040406896
0.9297032058 0.0043006193
0.9263200822 0.0045757187
0.9228639109 0.0048665513
0.9193352840 0.0051736818
0.9157348062 0.0054976755
0.9120630943 0.0058390961
0.9083207776 0.0061985055
0.9045084972 0.0065764615
0.9006269063 0.0069735168
0.8966766701 0.0073902174
0.8926584654 0.0078271015
0.8885729807 0.0082846974
0.8844209160 0.0087635224
0.8802029828 0.0092640812
0.8759199037 0.0097868638
0.8715724127 0.0103323448
0.8671612547 0.0109009807
0.8626871855 0.0114932093
0.8581509717 0.0121094473
0.8535533906 0.0127500889
0.8488952299 0.0134155043
0.8441772878 0.0141060379
0.8394003728 0.0148220069
0.8345653032 0.0155636993
0.8296729076 0.0163313729
0.8247240242 0.0171252532
0.8197195010 0.0179455324
0.8146601955 0.0187923675
0.8095469747 0.0196658793
0.8043807145 0.0205661509
0.7991623003 0.0214932262
0.7938926261 0.0224471089
0.7885725950 0.0234277616
0.7832031185 0.0244351041
0.7777851165 0.0254690129
0.7723195175 0.0265293201
0.7668072580 0.0276158127
0.7612492824 0.0287282317
0.7556465430 0.0298662717
0.7500000000 0.0310295800
0.7443106207 0.0322177569
0.7385793801 0.0334303544
0.7328072602 0.0346668769
0.7269952499 0.0359267808
0.7211443451 0.0372094744
0.7152555484 0.0385143182
0.7093298688 0.0398406251
0.7033683215 0.0411876611
0.6973719282 0.0425546455
0.6913417162 0.0439407515
0.6852787188 0.0453451075
0.6791839748 0.0467667974
0.6730585285 0.0482048619
0.6669034296 0.0496582996
0.6607197327 0.0511260685
0.6545084972 0.0526070868
0.6482707875 0.0541002350
0.6420076724 0.0556043572
0.6357202249 0.0571182627
0.6294095226 0.0586407280
0.6230766465 0.0601704988
0.6167226819 0.0617062917
0.6103487175 0.0632467964
0.6039558454 0.0647906780
0.5975451610 0.0663365790
0.5911177627 0.0678831216
0.5846747519 0.0694289106
0.5782172325 0.0709725349
0.5717463110 0.0725125708
0.5652630961 0.0740475841
0.5587686987 0.0755761327
0.5522642316 0.0770967691
0.5457508093 0.0786080431
0.5392295479 0.0801085044
0.5327015646 0.0815967052
0.5261679781 0.0830712026
0.5196299079 0.0845305613
0.5130884742 0.0859733563
0.5065447978 0.0873981750
0.5000000000 0.0888036201
0.4934552022 0.0901883120
0.4869115258 0.0915508907
0.4803700921 0.0928900188
0.4738320219 0.0942043831
0.4672984354 0.0954926973
0.4607704521 0.0967537039
0.4542491907 0.0979861760
0.4477357684 0.0991889194
0.4412313013 0.1003607745
0.4347369039 0.1015006178
0.4282536890 0.1026073636
0.4217827675 0.1036799656
0.4153252481 0.1047174181
0.4088822373 0.1057187570
0.4024548390 0.1066830617
0.3960441546 0.1076094552
0.3896512825 0.1084971057
0.3832773181 0.1093452267
0.3769233535 0.1101530783
0.3705904774 0.1109199670
0.3642797751 0.1116452465
0.3579923276 0.1123283180
0.3517292125 0.1129686298
0.3454915028 0.1135656779
0.3392802673 0.1141190052
0.3330965704 0.1146282017
0.3269414715 0.1150929042
0.3208160252 0.1155127953
0.3147212812 0.1158876033
0.3086582838 0.1162171010
0.3026280718 0.1165011055
0.2966316785 0.1167394766
0.2906701312 0.1169321164
0.2847444516 0.1170789680
0.2788556549 0.1171800141
0.2730047501 0.1172352762
0.2671927398 0.1172448131
0.2614206199 0.1172087194
0.2556893793 0.1171271245
0.2500000000 0.1170001908
0.2443534570 0.1168281123
0.2387507176 0.1166111133
0.2331927420 0.1163494466
0.2276804825 0.1160433922
0.2222148835 0.1156932556
0.2167968815 0.1152993662
0.2114274050 0.1148620759
0.2061073739 0.1143817576
0.2008376997 0.1138588035
0.1956192855 0.1132936238
0.1904530253 0.1126866451
0.1853398045 0.1120383091
0.1802804990 0.1113490711
0.1752759758 0.1106193988
0.1703270924 0.1098497710
0.1654346968 0.1090406763
0.1605996272 0.1081926121
0.1558227122 0.1073060832
0.1511047701 0.1063816011
0.1464466094 0.1054196830
0.1418490283 0.1044208506
0.1373128145 0.1033856298
0.1328387453 0.1023145493
0.1284275873 0.1012081405
0.1240800963 0.1000669369
0.1197970172 0.0988914731
0.1155790840 0.0976822849
0.1114270193 0.0964399084
0.1073415346 0.0951648804
0.1033233299 0.0938577375
0.0993730937 0.0925190164
0.0954915028 0.0911492535
0.0916792224 0.0897489853
0.0879369057 0.0883187480
0.0842651938 0.0868590778
0.0806647160 0.0853705111
0.0771360891 0.0838535846
0.0736799178 0.0823088356
0.0702967942 0.0807368022
0.0669872981 0.0791380239
0.0637519965 0.0775130416
0.0605914437 0.0758623982
0.0575061813 0.0741866389
0.0544967379 0.0724863117
0.0515636292 0.0707619679
0.0487073578 0.0690141623
0.0459284131 0.0672434540
0.0432272712 0.0654504063
0.0406043949 0.0636355878
0.0380602337 0.0617995724
0.0355952236 0.0599429398
0.0332097868 0.0580662757
0.0309043320 0.0561701727
0.0286792545 0.0542552300
0.0265349353 0.0523220542
0.0244717419 0.0503712592
0.0224900278 0.0484034667
0.0205901326 0.0464193061
0.0187723818 0.0444194153
0.0170370869 0.0424044397
0.0153845451 0.0403750334
0.0138150398 0.0383318586
0.0123288397 0.0362755855
0.0109261996 0.0342068927
0.0096073598 0.0321264665
0.0083725462 0.0300350011
0.0072219705 0.0279331985
0.0061558297 0.0258217676
0.0051743066 0.0237014246
0.0042775693 0.0215728922
0.0034657715 0.0194368995
0.0027390523 0.0172941811
0.0020975362 0.0151454773
0.0015413331 0.0129915329
0.0010705384 0.0108330972
0.0006852326 0.0086709232
0.0003854819 0.0065057669
0.0001713375 0.0043383871
0.0000428362 0.0021695441
0.0000000000 0.0000000000
0.0000428362 -0.0016746013
0.0001713375 -0.0033485999
0.0003854819 -0.0050213325
0.0006852326 -0.0066921374
0.0010705384 -0.0083603546
0.0015413331 -0.0100253272
0.0020975362 -0.0116864014
0.0027390523 -0.0133429277
0.0034657715 -0.0149942609
0.0042775693 -0.0166397616
0.0051743066 -0.0182787956
0.0061558297 -0.0199107357
0.0072219705 -0.0215349610
0.0083725462 -0.0231508585
0.0096073598 -0.0247578226
0.0109261996 -0.0263552561
0.0123288397 -0.0279425703
0.0138150398 -0.0295191853
0.0153845451 -0.0310845307
0.0170370869 -0.0326380450
0.0187723818 -0.0341791766
0.0205901326 -0.0357073837
0.0224900278 -0.0372221340
0.0244717419 -0.0387229054
0.0265349353 -0.0402091856
0.0286792545 -0.0416804720
0.0309043320 -0.0431362721
0.0332097868 -0.0445761029
0.0355952236 -0.0459994909
0.0380602337 -0.0474059722
0.0406043949 -0.0487950917
0.0432272712 -0.0501664035
0.0459284131 -0.0515194701
0.0487073578 -0.0528538624
0.0515636292 -0.0541691593
0.0544967379 -0.0554649473
