VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="FFD_vol0" I=10 J=2 K=17
DATAPACKING=POINT
-1.220000 -1.040059 -0.240000 
-1.050183 -1.410748 -0.240000 
0.440070 -2.356249 -0.240000 
5.242945 -3.220879 -0.240000 
14.345816 -3.181957 -0.240000 
25.613299 -2.200574 -0.240000 
34.707376 -1.363636 -0.240000 
39.496778 -1.120020 -0.240000 
40.975183 -1.089543 -0.240000 
41.140321 -1.088059 -0.240000 
-1.220000 1.040059 -0.240000 
-1.050183 1.822999 -0.240000 
0.440070 3.913678 -0.240000 
5.242945 6.223499 -0.240000 
14.345816 6.319032 -0.240000 
25.613299 3.535834 -0.240000 
34.707376 1.636025 -0.240000 
39.496778 1.172601 -0.240000 
40.975183 1.093375 -0.240000 
41.140321 1.088059 -0.240000 
-1.150038 -1.026703 0.379491 
-0.980793 -1.399597 0.379491 
0.505297 -2.350027 0.379491 
5.295583 -3.217773 0.379491 
14.375767 -3.172264 0.379491 
25.616156 -2.170867 0.379491 
34.688198 -1.316570 0.379491 
39.465914 -1.066038 0.379491 
40.940802 -1.033972 0.379491 
41.105592 -1.032376 0.379491 
-1.150038 1.026703 0.379491 
-0.980793 1.811787 0.379491 
0.505297 3.910539 0.379491 
5.295583 6.238977 0.379491 
14.375767 6.353560 0.379491 
25.616156 3.567835 0.379491 
34.688198 1.663943 0.379491 
39.465914 1.202117 0.379491 
40.940802 1.123765 0.379491 
41.105592 1.118520 0.379491 
0.800709 -0.845992 1.503379 
0.962494 -1.204030 1.503379 
2.376812 -2.115124 1.503379 
6.930777 -2.944081 1.503379 
15.561385 -2.887553 1.503379 
26.245942 -1.896448 1.503379 
34.869796 -1.050051 1.503379 
39.413057 -0.798120 1.503379 
40.817487 -0.764421 1.503379 
40.975272 -0.762675 1.503379 
0.800709 0.845992 1.503379 
0.962494 1.592867 1.503379 
2.376812 3.594575 1.503379 
6.930777 5.837385 1.503379 
15.561385 5.990315 1.503379 
26.245942 3.349608 1.503379 
34.869796 1.536995 1.503379 
39.413057 1.102777 1.503379 
40.817487 1.030452 1.503379 
40.975272 1.025637 1.503379 
4.219005 -0.499088 3.328475 
4.372965 -0.816408 3.328475 
5.676881 -1.622832 3.328475 
9.840597 -2.354420 3.328475 
17.711148 -2.297477 3.328475 
27.448731 -1.402165 3.328475 
35.313118 -0.636312 3.328475 
39.466829 -0.406563 3.328475 
40.761318 -0.375092 3.328475 
40.911436 -0.373428 3.328475 
4.219005 0.499088 3.328475 
4.372965 1.151706 3.328475 
